-3.1415927 | 0.0919997 | - |0.1013212
-2.9919930 | 0.1004821 | - |0.1117066
-2.8423934 | 0.1101419 | - |0.1237746
-2.6927937 | 0.1211954 | - |0.1379094
-2.5431941 | 0.1339076 | - |0.1546112
-2.3935944 | 0.1486040 | - |0.1745416
-2.2439948 | 0.1656860 | - |0.1985895
-2.0943951 | 0.1856496 | - |0.2279727
-1.9447955 | 0.2091075 | - |0.2643943
-1.7951958 | 0.2368137 | - |0.3102961
-1.6455962 | 0.2696881 | - |0.3692780
-1.4959965 | 0.3088321 | - |0.4468264
-1.3463969 | 0.3555196 | 0.2443254 | 0.5516376
-1.1967972 | 0.4111295 | 0.4021999 | 0.6981663
-1.0471976 | 0.4769575 | 0.4735597 | 0.9118907
-0.8975979 | 0.5538074 | 0.4992452 | 1.2411845
-0.7479983 | 0.6412306 | 0.4898413 | 1.7873057
-0.5983986 | 0.7363332 | 0.4488986 | 2.7926651
-0.4487990 | 0.8323480 | 0.3772747 | 4.9647380
-0.2991993 | 0.9178352 | 0.2754034 | 11.1706605
-0.1495997 | 0.9781098 | 0.1463585 | 44.6826420
0.0000000 | 1.0000000 | 0.0000000 | inf
0.1495997 | 0.9781098 | 0.1463585 | 44.6826420
0.2991993 | 0.9178352 | 0.2754034 | 11.1706605
0.4487990 | 0.8323480 | 0.3772747 | 4.9647380
0.5983986 | 0.7363332 | 0.4488986 | 2.7926651
0.7479983 | 0.6412306 | 0.4898413 | 1.7873057
0.8975979 | 0.5538074 | 0.4992452 | 1.2411845
1.0471976 | 0.4769575 | 0.4735597 | 0.9118907
1.1967972 | 0.4111295 | 0.4021999 | 0.6981663
1.3463969 | 0.3555196 | 0.2443254 | 0.5516376
1.4959965 | 0.3088321 | - |0.4468264
1.6455962 | 0.2696881 | - |0.3692780
1.7951958 | 0.2368137 | - |0.3102961
1.9447955 | 0.2091075 | - |0.2643943
2.0943951 | 0.1856496 | - |0.2279727
2.2439948 | 0.1656860 | - |0.1985895
2.3935944 | 0.1486040 | - |0.1745416
2.5431941 | 0.1339076 | - |0.1546112
2.6927937 | 0.1211954 | - |0.1379094
2.8423934 | 0.1101419 | - |0.1237746
2.9919930 | 0.1004821 | - |0.1117066
